id,name,height_dm,weight_hg,base_experience,type_1,type_2,hp,attack,defense
140,kabuto,5,115,71.0,rock,water,30,80,90
141,kabutops,13,405,173.0,rock,water,60,115,105
142,aerodactyl,18,590,180.0,rock,flying,80,105,65
143,snorlax,21,4600,189.0,normal,,160,110,65
144,articuno,17,554,261.0,ice,flying,90,85,100
145,zapdos,16,526,261.0,electric,flying,90,90,85
146,moltres,20,600,261.0,fire,flying,90,100,90
147,dratini,18,33,60.0,dragon,,41,64,45
148,dragonair,40,165,147.0,dragon,,61,84,65
149,dragonite,22,2100,270.0,dragon,flying,91,134,95
150,mewtwo,20,1220,306.0,psychic,,106,110,90
151,mew,4,40,270.0,psychic,,100,100,100
152,chikorita,9,64,64.0,grass,,45,49,65
153,bayleef,12,158,142.0,grass,,60,62,80
154,meganium,18,1005,236.0,grass,,80,82,100
155,cyndaquil,5,79,62.0,fire,,39,52,43
156,quilava,9,190,142.0,fire,,58,64,58
157,typhlosion,17,795,240.0,fire,,78,84,78
158,totodile,6,95,63.0,water,,50,65,64
159,croconaw,11,250,142.0,water,,65,80,80
160,feraligatr,23,888,239.0,water,,85,105,100
161,sentret,8,60,43.0,normal,,35,46,34
162,furret,18,325,145.0,normal,,85,76,64
163,hoothoot,7,212,52.0,normal,flying,60,30,30
164,noctowl,16,408,158.0,normal,flying,100,50,50
165,ledyba,10,108,53.0,bug,flying,40,20,30
166,ledian,14,356,137.0,bug,flying,55,35,50
167,spinarak,5,85,50.0,bug,poison,40,60,40
168,ariados,11,335,140.0,bug,poison,70,90,70
169,crobat,18,750,241.0,poison,flying,85,90,80
170,chinchou,5,120,66.0,water,electric,75,38,38
171,lanturn,12,225,161.0,water,electric,125,58,58
172,pichu,3,20,41.0,electric,,20,40,15
173,cleffa,3,30,44.0,fairy,,50,25,28
174,igglybuff,3,10,42.0,normal,fairy,90,30,15
175,togepi,3,15,49.0,fairy,,35,20,65
176,togetic,6,32,142.0,fairy,flying,55,40,85
177,natu,2,20,64.0,psychic,flying,40,50,45
178,xatu,15,150,165.0,psychic,flying,65,75,70
179,mareep,6,78,56.0,electric,,55,40,40
180,flaaffy,8,133,128.0,electric,,70,55,55
181,ampharos,14,615,230.0,electric,,90,75,85
182,bellossom,4,58,221.0,grass,,75,80,95
183,marill,4,85,88.0,water,fairy,70,20,50
184,azumarill,8,285,189.0,water,fairy,100,50,80
185,sudowoodo,12,380,144.0,rock,,70,100,115
186,politoed,11,339,225.0,water,,90,75,75
187,hoppip,4,5,50.0,grass,flying,35,35,40
188,skiploom,6,10,119.0,grass,flying,55,45,50
189,jumpluff,8,30,207.0,grass,flying,75,55,70
190,aipom,8,115,72.0,normal,,55,70,55
191,sunkern,3,18,36.0,grass,,30,30,30
192,sunflora,8,85,149.0,grass,,75,75,55
193,yanma,12,380,78.0,bug,flying,65,65,45
194,wooper,4,85,42.0,water,ground,55,45,45
195,quagsire,14,750,151.0,water,ground,95,85,85
196,espeon,9,265,184.0,psychic,,65,65,60
197,umbreon,10,270,184.0,dark,,95,65,110
198,murkrow,5,21,81.0,dark,flying,60,85,42
199,slowking,20,795,172.0,water,psychic,95,75,80
200,misdreavus,7,10,87.0,ghost,,60,60,60
201,unown,5,50,118.0,psychic,,48,72,48
202,wobbuffet,13,285,142.0,psychic,,190,33,58
203,girafarig,15,415,159.0,normal,psychic,70,80,65
204,pineco,6,72,58.0,bug,,50,65,90
205,forretress,12,1258,163.0,bug,steel,75,90,140
206,dunsparce,15,140,145.0,normal,,100,70,70
207,gligar,11,648,86.0,ground,flying,65,75,105
208,steelix,92,4000,179.0,steel,ground,75,85,200
209,snubbull,6,78,60.0,fairy,,60,80,50
210,granbull,14,487,158.0,fairy,,90,120,75
211,qwilfish,5,39,88.0,water,poison,65,95,85
212,scizor,18,1180,175.0,bug,steel,70,130,100
213,shuckle,6,205,177.0,bug,rock,20,10,230
214,heracross,15,540,175.0,bug,fighting,80,125,75
215,sneasel,9,280,86.0,dark,ice,55,95,55
216,teddiursa,6,88,66.0,normal,,60,80,50
217,ursaring,18,1258,175.0,normal,,90,130,75
218,slugma,7,350,50.0,fire,,40,40,40
219,magcargo,8,550,151.0,fire,rock,60,50,120
220,swinub,4,65,50.0,ice,ground,50,50,40
221,piloswine,11,558,158.0,ice,ground,100,100,80
222,corsola,6,50,144.0,water,rock,65,55,95
223,remoraid,6,120,60.0,water,,35,65,35
224,octillery,9,285,168.0,water,,75,105,75
225,delibird,9,160,116.0,ice,flying,45,55,45
226,mantine,21,2200,170.0,water,flying,85,40,70
227,skarmory,17,505,163.0,steel,flying,65,80,140
228,houndour,6,108,66.0,dark,fire,45,60,30
229,houndoom,14,350,175.0,dark,fire,75,90,50
230,kingdra,18,1520,243.0,water,dragon,75,95,95
231,phanpy,5,335,66.0,ground,,90,60,60
232,donphan,11,1200,175.0,ground,,90,120,120
233,porygon2,6,325,180.0,normal,,85,80,90
234,stantler,14,712,163.0,normal,,73,95,62
235,smeargle,12,580,88.0,normal,,55,20,35
236,tyrogue,7,210,42.0,fighting,,35,35,35
237,hitmontop,14,480,159.0,fighting,,50,95,95
238,smoochum,4,60,61.0,ice,psychic,45,30,15
239,elekid,6,235,72.0,electric,,45,63,37
240,magby,7,214,73.0,fire,,45,75,37
241,miltank,12,755,172.0,normal,,95,80,105
242,blissey,15,468,608.0,normal,,255,10,10
243,raikou,19,1780,261.0,electric,,90,85,75
244,entei,21,1980,261.0,fire,,115,115,85
245,suicune,20,1870,261.0,water,,100,75,115
246,larvitar,6,720,60.0,rock,ground,50,64,50
247,pupitar,12,1520,144.0,rock,ground,70,84,70
248,tyranitar,20,2020,270.0,rock,dark,100,134,110
249,lugia,52,2160,306.0,psychic,flying,106,90,130
250,ho-oh,38,1990,306.0,fire,flying,106,130,90
251,celebi,6,50,270.0,psychic,grass,100,100,100
252,treecko,5,50,62.0,grass,,40,45,35
253,grovyle,9,216,142.0,grass,,50,65,45
254,sceptile,17,522,239.0,grass,,70,85,65
255,torchic,4,25,62.0,fire,,45,60,40
256,combusken,9,195,142.0,fire,fighting,60,85,60
257,blaziken,19,520,239.0,fire,fighting,80,120,70
258,mudkip,4,76,62.0,water,,50,70,50
259,marshtomp,7,280,142.0,water,ground,70,85,70
260,swampert,15,819,241.0,water,ground,100,110,90
261,poochyena,5,136,56.0,dark,,35,55,35
262,mightyena,10,370,147.0,dark,,70,90,70
263,zigzagoon,4,175,56.0,normal,,38,30,41
264,linoone,5,325,147.0,normal,,78,70,61
265,wurmple,3,36,56.0,bug,,45,45,35
266,silcoon,6,100,72.0,bug,,50,35,55
267,beautifly,10,284,178.0,bug,flying,60,70,50
268,cascoon,7,115,72.0,bug,,50,35,55
269,dustox,12,316,173.0,bug,poison,60,50,70
270,lotad,5,26,44.0,water,grass,40,30,30
271,lombre,12,325,119.0,water,grass,60,50,50
272,ludicolo,15,550,216.0,water,grass,80,70,70
273,seedot,5,40,44.0,grass,,40,40,50
274,nuzleaf,10,280,119.0,grass,dark,70,70,40
275,shiftry,13,596,216.0,grass,dark,90,100,60
276,taillow,3,23,54.0,normal,flying,40,55,30
277,swellow,7,198,159.0,normal,flying,60,85,60
278,wingull,6,95,54.0,water,flying,40,30,30
279,pelipper,12,280,154.0,water,flying,60,50,100
280,ralts,4,66,40.0,psychic,fairy,28,25,25
281,kirlia,8,202,97.0,psychic,fairy,38,35,35
282,gardevoir,16,484,233.0,psychic,fairy,68,65,65
283,surskit,5,17,54.0,bug,water,40,30,32
284,masquerain,8,36,159.0,bug,flying,70,60,62
285,shroomish,4,45,59.0,grass,,60,40,60
286,breloom,12,392,161.0,grass,fighting,60,130,80
287,slakoth,8,240,56.0,normal,,60,60,60
288,vigoroth,14,465,154.0,normal,,80,80,80
289,slaking,20,1305,252.0,normal,,150,160,100
290,nincada,5,55,53.0,bug,ground,31,45,90
291,ninjask,8,120,160.0,bug,flying,61,90,45
292,shedinja,8,12,83.0,bug,ghost,1,90,45
293,whismur,6,163,48.0,normal,,64,51,23
294,loudred,10,405,126.0,normal,,84,71,43
295,exploud,15,840,221.0,normal,,104,91,63
296,makuhita,10,864,47.0,fighting,,72,60,30
297,hariyama,23,2538,166.0,fighting,,144,120,60
298,azurill,2,20,38.0,normal,fairy,50,20,40
299,nosepass,10,970,75.0,rock,,30,45,135
300,skitty,6,110,52.0,normal,,50,45,45
301,delcatty,11,326,140.0,normal,,70,65,65
302,sableye,5,110,133.0,dark,ghost,50,75,75
303,mawile,6,115,133.0,steel,fairy,50,85,85
304,aron,4,600,66.0,steel,rock,50,70,100
305,lairon,9,1200,151.0,steel,rock,60,90,140
306,aggron,21,3600,239.0,steel,rock,70,110,180
307,meditite,6,112,56.0,fighting,psychic,30,40,55
308,medicham,13,315,144.0,fighting,psychic,60,60,75
309,electrike,6,152,59.0,electric,,40,45,40
310,manectric,15,402,166.0,electric,,70,75,60
311,plusle,4,42,142.0,electric,,60,50,40
312,minun,4,42,142.0,electric,,60,40,50
313,volbeat,7,177,151.0,bug,,65,73,75
314,illumise,6,177,151.0,bug,,65,47,75
315,roselia,3,20,140.0,grass,poison,50,60,45
316,gulpin,4,103,60.0,poison,,70,43,53
317,swalot,17,800,163.0,poison,,100,73,83
318,carvanha,8,208,61.0,water,dark,45,90,20
319,sharpedo,18,888,161.0,water,dark,70,120,40
320,wailmer,20,1300,80.0,water,,130,70,35
321,wailord,145,3980,175.0,water,,170,90,45
322,numel,7,240,61.0,fire,ground,60,60,40
323,camerupt,19,2200,161.0,fire,ground,70,100,70
324,torkoal,5,804,165.0,fire,,70,85,140
325,spoink,7,306,66.0,psychic,,60,25,35
326,grumpig,9,715,165.0,psychic,,80,45,65
327,spinda,11,50,126.0,normal,,60,60,60
328,trapinch,7,150,58.0,ground,,45,100,45
329,vibrava,11,153,119.0,ground,dragon,50,70,50
330,flygon,20,820,234.0,ground,dragon,80,100,80
331,cacnea,4,513,67.0,grass,,50,85,40
332,cacturne,13,774,166.0,grass,dark,70,115,60
333,swablu,4,12,62.0,normal,flying,45,40,60
334,altaria,11,206,172.0,dragon,flying,75,70,90
335,zangoose,13,403,160.0,normal,,73,115,60
336,seviper,27,525,160.0,poison,,73,100,60
337,lunatone,10,1680,161.0,rock,psychic,90,55,65
338,solrock,12,1540,161.0,rock,psychic,90,95,85
339,barboach,4,19,58.0,water,ground,50,48,43
340,whiscash,9,236,164.0,water,ground,110,78,73
341,corphish,6,115,62.0,water,,43,80,65
342,crawdaunt,11,328,164.0,water,dark,63,120,85
343,baltoy,5,215,60.0,ground,psychic,40,40,55
344,claydol,15,1080,175.0,ground,psychic,60,70,105
345,lileep,10,238,71.0,rock,grass,66,41,77
346,cradily,15,604,173.0,rock,grass,86,81,97
347,anorith,7,125,71.0,rock,bug,45,95,50
348,armaldo,15,682,173.0,rock,bug,75,125,100
349,feebas,6,74,40.0,water,,20,15,20
350,milotic,62,1620,189.0,water,,95,60,79
351,castform,3,8,147.0,normal,,70,70,70
352,kecleon,10,220,154.0,normal,,60,90,70
353,shuppet,6,23,59.0,ghost,,44,75,35
354,banette,11,125,159.0,ghost,,64,115,65
355,duskull,8,150,59.0,ghost,,20,40,90
356,dusclops,16,306,159.0,ghost,,40,70,130
357,tropius,20,1000,161.0,grass,flying,99,68,83
358,chimecho,6,10,159.0,psychic,,75,50,80
359,absol,12,470,163.0,dark,,65,130,60
360,wynaut,6,140,52.0,psychic,,95,23,48
361,snorunt,7,168,60.0,ice,,50,50,50
362,glalie,15,2565,168.0,ice,,80,80,80
363,spheal,8,395,58.0,ice,water,70,40,50
364,sealeo,11,876,144.0,ice,water,90,60,70
365,walrein,14,1506,239.0,ice,water,110,80,90
366,clamperl,4,525,69.0,water,,35,64,85
367,huntail,17,270,170.0,water,,55,104,105
368,gorebyss,18,226,170.0,water,,55,84,105
369,relicanth,10,234,170.0,water,rock,100,90,130
370,luvdisc,6,87,116.0,water,,43,30,55
371,bagon,6,421,60.0,dragon,,45,75,60
372,shelgon,11,1105,147.0,dragon,,65,95,100
373,salamence,15,1026,270.0,dragon,flying,95,135,80
374,beldum,6,952,60.0,steel,psychic,40,55,80
375,metang,12,2025,147.0,steel,psychic,60,75,100
376,metagross,16,5500,270.0,steel,psychic,80,135,130
377,regirock,17,2300,261.0,rock,,80,100,200
378,regice,18,1750,261.0,ice,,80,50,100
379,registeel,19,2050,261.0,steel,,80,75,150
380,latias,14,400,270.0,dragon,psychic,80,80,90
381,latios,20,600,270.0,dragon,psychic,80,90,80
382,kyogre,45,3520,302.0,water,,100,100,90
383,groudon,35,9500,302.0,ground,,100,150,140
384,rayquaza,70,2065,306.0,dragon,flying,105,150,90
385,jirachi,3,11,270.0,steel,psychic,100,100,100
386,deoxys-normal,17,608,270.0,psychic,,50,150,50
387,turtwig,4,102,64.0,grass,,55,68,64
388,grotle,11,970,142.0,grass,,75,89,85
389,torterra,22,3100,236.0,grass,ground,95,109,105
390,chimchar,5,62,62.0,fire,,44,58,44
391,monferno,9,220,142.0,fire,fighting,64,78,52
392,infernape,12,550,240.0,fire,fighting,76,104,71
393,piplup,4,52,63.0,water,,53,51,53
394,prinplup,8,230,142.0,water,,64,66,68
395,empoleon,17,845,239.0,water,steel,84,86,88
396,starly,3,20,49.0,normal,flying,40,55,30
397,staravia,6,155,119.0,normal,flying,55,75,50
398,staraptor,12,249,218.0,normal,flying,85,120,70
399,bidoof,5,200,50.0,normal,,59,45,40
400,bibarel,10,315,144.0,normal,water,79,85,60
401,kricketot,3,22,39.0,bug,,37,25,41
402,kricketune,10,255,134.0,bug,,77,85,51
403,shinx,5,95,53.0,electric,,45,65,34
404,luxio,9,305,127.0,electric,,60,85,49
405,luxray,14,420,235.0,electric,,80,120,79
406,budew,2,12,56.0,grass,poison,40,30,35
407,roserade,9,145,232.0,grass,poison,60,70,65
408,cranidos,9,315,70.0,rock,,67,125,40
409,rampardos,16,1025,173.0,rock,,97,165,60
410,shieldon,5,570,70.0,rock,steel,30,42,118
411,bastiodon,13,1495,173.0,rock,steel,60,52,168
412,burmy,2,34,45.0,bug,,40,29,45
413,wormadam-plant,5,65,148.0,bug,grass,60,59,85
414,mothim,9,233,148.0,bug,flying,70,94,50
415,combee,3,55,49.0,bug,flying,30,30,42
416,vespiquen,12,385,166.0,bug,flying,70,80,102
417,pachirisu,4,39,142.0,electric,,60,45,70
418,buizel,7,295,66.0,water,,55,65,35
419,floatzel,11,335,173.0,water,,85,105,55
420,cherubi,4,33,55.0,grass,,45,35,45
421,cherrim,5,93,158.0,grass,,70,60,70
422,shellos,3,63,65.0,water,,76,48,48
423,gastrodon,9,299,166.0,water,ground,111,83,68
424,ambipom,12,203,169.0,normal,,75,100,66
425,drifloon,4,12,70.0,ghost,flying,90,50,34
426,drifblim,12,150,174.0,ghost,flying,150,80,44
427,buneary,4,55,70.0,normal,,55,66,44
428,lopunny,12,333,168.0,normal,,65,76,84
429,mismagius,9,44,173.0,ghost,,60,60,60
430,honchkrow,9,273,177.0,dark,flying,100,125,52
431,glameow,5,39,62.0,normal,,49,55,42
432,purugly,10,438,158.0,normal,,71,82,64
433,chingling,2,6,57.0,psychic,,45,30,50
434,stunky,4,192,66.0,poison,dark,63,63,47
435,skuntank,10,380,168.0,poison,dark,103,93,67
436,bronzor,5,605,60.0,steel,psychic,57,24,86
437,bronzong,13,1870,175.0,steel,psychic,67,89,116
438,bonsly,5,150,58.0,rock,,50,80,95
439,mime-jr,6,130,62.0,psychic,fairy,20,25,45
440,happiny,6,244,110.0,normal,,100,5,5
441,chatot,5,19,144.0,normal,flying,76,65,45
442,spiritomb,10,1080,170.0,ghost,dark,50,92,108
443,gible,7,205,60.0,dragon,ground,58,70,45
444,gabite,14,560,144.0,dragon,ground,68,90,65
445,garchomp,19,950,270.0,dragon,ground,108,130,95
446,munchlax,6,1050,78.0,normal,,135,85,40
447,riolu,7,202,57.0,fighting,,40,70,40
448,lucario,12,540,184.0,fighting,steel,70,110,70
449,hippopotas,8,495,66.0,ground,,68,72,78
450,hippowdon,20,3000,184.0,ground,,108,112,118
451,skorupi,8,120,66.0,poison,bug,40,50,90
452,drapion,13,615,175.0,poison,dark,70,90,110
453,croagunk,7,230,60.0,poison,fighting,48,61,40
454,toxicroak,13,444,172.0,poison,fighting,83,106,65
455,carnivine,14,270,159.0,grass,,74,100,72
456,finneon,4,70,66.0,water,,49,49,56
457,lumineon,12,240,161.0,water,,69,69,76
458,mantyke,10,650,69.0,water,flying,45,20,50
459,snover,10,505,67.0,grass,ice,60,62,50
460,abomasnow,22,1355,173.0,grass,ice,90,92,75
461,weavile,11,340,179.0,dark,ice,70,120,65
462,magnezone,12,1800,241.0,electric,steel,70,70,115
463,lickilicky,17,1400,180.0,normal,,110,85,95
464,rhyperior,24,2828,241.0,ground,rock,115,140,130
465,tangrowth,20,1286,187.0,grass,,100,100,125
466,electivire,18,1386,243.0,electric,,75,123,67
467,magmortar,16,680,243.0,fire,,75,95,67
468,togekiss,15,380,245.0,fairy,flying,85,50,95
469,yanmega,19,515,180.0,bug,flying,86,76,86
470,leafeon,10,255,184.0,grass,,65,110,130
471,glaceon,8,259,184.0,ice,,65,60,110
472,gliscor,20,425,179.0,ground,flying,75,95,125
473,mamoswine,25,2910,239.0,ice,ground,110,130,80
474,porygon-z,9,340,241.0,normal,,85,80,70
475,gallade,16,520,233.0,psychic,fighting,68,125,65
476,probopass,14,3400,184.0,rock,steel,60,55,145
477,dusknoir,22,1066,236.0,ghost,,45,100,135
478,froslass,13,266,168.0,ice,ghost,70,80,70
479,rotom,3,3,154.0,electric,ghost,50,50,77
480,uxie,3,3,261.0,psychic,,75,75,130
481,mesprit,3,3,261.0,psychic,,80,105,105
482,azelf,3,3,261.0,psychic,,75,125,70
483,dialga,54,6830,306.0,steel,dragon,100,120,120
484,palkia,42,3360,306.0,water,dragon,90,120,100
485,heatran,17,4300,270.0,fire,steel,91,90,106
486,regigigas,37,4200,302.0,normal,,110,160,110
487,giratina-altered,45,7500,306.0,ghost,dragon,150,100,120
488,cresselia,15,856,270.0,psychic,,120,70,110
489,phione,4,31,216.0,water,,80,80,80
490,manaphy,3,14,270.0,water,,100,100,100
491,darkrai,15,505,270.0,dark,,70,90,90
492,shaymin-land,2,21,270.0,grass,,100,100,100
493,arceus,32,3200,324.0,normal,,120,120,120
494,victini,4,40,270.0,psychic,fire,100,100,100
495,snivy,6,81,62.0,grass,,45,45,55
496,servine,8,160,145.0,grass,,60,60,75
497,serperior,33,630,238.0,grass,,75,75,95
498,tepig,5,99,62.0,fire,,65,63,45
499,pignite,10,555,146.0,fire,fighting,90,93,55
500,emboar,16,1500,238.0,fire,fighting,110,123,65
501,oshawott,5,59,62.0,water,,55,55,45
502,dewott,8,245,145.0,water,,75,75,60
503,samurott,15,946,238.0,water,,95,100,85
504,patrat,5,116,51.0,normal,,45,55,39
505,watchog,11,270,147.0,normal,,60,85,69
506,lillipup,4,41,55.0,normal,,45,60,45
507,herdier,9,147,130.0,normal,,65,80,65
508,stoutland,12,610,225.0,normal,,85,110,90
509,purrloin,4,101,56.0,dark,,41,50,37
510,liepard,11,375,156.0,dark,,64,88,50
511,pansage,6,105,63.0,grass,,50,53,48
512,simisage,11,305,174.0,grass,,75,98,63
513,pansear,6,110,63.0,fire,,50,53,48
514,simisear,10,280,174.0,fire,,75,98,63
515,panpour,6,135,63.0,water,,50,53,48
516,simipour,10,290,174.0,water,,75,98,63
517,munna,6,233,58.0,psychic,,76,25,45
518,musharna,11,605,170.0,psychic,,116,55,85
519,pidove,3,21,53.0,normal,flying,50,55,50
520,tranquill,6,150,125.0,normal,flying,62,77,62
521,unfezant,12,290,220.0,normal,flying,80,115,80
522,blitzle,8,298,59.0,electric,,45,60,32
523,zebstrika,16,795,174.0,electric,,75,100,63
524,roggenrola,4,180,56.0,rock,,55,75,85
525,boldore,9,1020,137.0,rock,,70,105,105
526,gigalith,17,2600,232.0,rock,,85,135,130
527,woobat,4,21,65.0,psychic,flying,65,45,43
528,swoobat,9,105,149.0,psychic,flying,67,57,55
529,drilbur,3,85,66.0,ground,,60,85,40
530,excadrill,7,404,178.0,ground,steel,110,135,60
531,audino,11,310,390.0,normal,,103,60,86
532,timburr,6,125,61.0,fighting,,75,80,55
533,gurdurr,12,400,142.0,fighting,,85,105,85
534,conkeldurr,14,870,227.0,fighting,,105,140,95
535,tympole,5,45,59.0,water,,50,50,40
536,palpitoad,8,170,134.0,water,ground,75,65,55
537,seismitoad,15,620,229.0,water,ground,105,95,75
538,throh,13,555,163.0,fighting,,120,100,85
539,sawk,14,510,163.0,fighting,,75,125,75
